Set,Series,Set #
Piggy Car Escape,Angry Birds Movie,75821
Piggy Plane Attack,Angry Birds Movie,75822
Cruz Ramirez Race Simulator,Cars,10731
Guido and Luigi's Pit Stop,Cars,10732
Crawley's Claw Ripper,Chima,70001
Eris' Fire Eagle Flyer,Chima,70142
Flying Phoenix Fire Temple,Chima,70146
Icebite's Claw Driller,Chima,70223
Laval's Fire Lion,Chima,70144
Lavertus Lion-Jet,Chima,70129
Razar's CHI Raider,Chima,70012
Saber-tooth Tiger Tribe Pack,Chima,70232
Scorm's Scorpion Stinger,Chima,70132
Sir Fangar's Saber-Tooth Walker,Chima,70143
Sparratus' Spider Stalker,Chima,70130
Spider Crawler,Chima,30263
Sykor's Ice Cruiser,Chima,30266
The Lion CHI Temple,Chima,70010
Vardy's Ice Vulture Glider,Chima,10291
Deep Sea Scuba Scooter,City,60090
Demolition Starter Set,City,60072
Jungle Halftrack Mission,City,60159
Prison Island Helicopter,City,30346
Lizard,Creator,30477
Mighty Dinosaurs,Creator,31058
Red Creatures,Creator,31032
Batman v. Superman Clash of the Heroes,DC Comics Super Heroes,76044
Batman's Man-Bat Attack,DC Comics Super Heroes,76011
T-Rex Hunter,Dino,5886
Bug Obliterator,Galaxy Squad,70705
Star Slicer,Galaxy Squad,70703
Vermin Vaporizer,Galaxy Squad,70704
Warp Stinger,Galaxy Squad,70702
EVO Walker,Hero Factory,44015-1
SURGE & ROCKA Combat Machine,Hero Factory,44028
Dilophosaurus Ambush,Jurassic World,75916
Indominus Rex Breakout,Jurassic World,75919
Pteradon Capture,Jurassic World,75915
Raptor Rampage,Jurassic World,75917
Prison Tower Rescue,Kingdoms,7947
"Benny's Spaceship, Spaceship, SPACESHIP!",LEGO Movie,70816
Cloud Cuckoo Palace,LEGO Movie,70803
Super Cycle Chase,LEGO Movie,70808
Trash Chomper,LEGO Movie,70805
Iron Skull Sub Attack,Marvel Super Heroes,76048
The Hulk Buster Smash,Marvel Super Heroes,76031
Batman vs Catwoman,Mighty Micros,76061
Hulk vs Ultron,Mighty Micros,76066
Robin vs. Bane,Mighty Micros,76062
The Flash vs Captain Cold,Mighty Micros,76063
Minecraft Crafting Box,Minecraft,21116
Mushroom Island,Minecraft,21129
The Cave,Minecraft,21113
The Fortress,Minecraft,21127
The Iron Golem,Minecraft,21123
Beast Master's Chaos Chariot,Nexo Knights,70314
Chaos Catapult,Nexo Knights,70311
Clays' Rumble Blade,Nexo Knights,70315
General Magmar's Siege Machine of Doom,Nexo Knights,70321
King's Guard Artillery,Nexo Knights,70347
Knightons Battle Blaster,Nexo Knights,70310
Macy's Thunder Mace,Nexo Knights,70319
Moltor's Lava Smasher,Nexo Knights,70313
Ruina's Lock & Roller,Nexo Knights,70349
The Glob Lobber,Nexo Knights,70318
Ultimate Lavaria,Nexo Knights,70335
Anacondrai Crusher,Ninjago,70745
Blaster Bike,Ninjago,70733
Cole's Dragon Playset,Ninjago,70599
Condrai Copter Attack,Ninjago,70746
Desert Lightning,Ninjago,70622
Destiny's Bounty,Ninjago,9446
Destructoid,Ninjago,70726
Dragon's Forge,Ninjago,70627
Jay's Elemental Dragon,Ninjago,70602
Kryptarium Prison Break,Ninjago,70591
Misfortunes Keep,Ninjago,70605
Ninja Bike Chase,Ninjago,70600
Raid Zeppelin,Ninjago,70603
Ronin R.E.X,Ninjago,70735
Samurai X Cave Chaos,Ninjago,70596
Sky Shark,Ninjago,70601
The Vermillion Attack,Ninjago,70621
Tiger Widow Island,Ninjago,70604
Titan Mech Battle,Ninjago,70737
Vermillion Invader,Ninjago,70624
A-wing Starfighter,Star Wars,75003
Eclipse Fighter,Star Wars,75145
First Order Battle Pack,Star Wars,75132
First Order Snowspeeder,Star Wars,75100
Imperial Assault Hovertank,Star Wars,75152
Rey's Speeder,Star Wars,75099
Shadow Troopers,Star Wars,75079
Star Wars The Clone Wars AT-TE Walker,Star Wars,7675
T-6 Jedi Shuttle,Star Wars,7931
The Ghost,Star Wars,75127
Wookie Gunship,Star Wars,75129
The Joker Balloon Escape,The Batman Movie,70900
Mirkwood Elf Army,The Hobbit,79012
Witch-King Battle,The Hobbit,79015
Tremor Track Infiltration,Ultra Agents,70161,https://www.bricklink.com/v2/catalog/catalogitem.page?S=70161#T=S&O={}